model_name,label,loss,distance,radius,X,Y,tsne_0,tsne_1
vae_rf_1000,7,0.1459689,1.0235057,0.023711545,-0.9709934,0.32362896,33.051037,0.62169427
vae_rf_1000,2,0.23458055,1.2730705,0.048838194,0.9524691,0.8446958,-7.3006434,-15.647075
vae_rf_1000,1,0.055086337,2.3504758,0.052965313,-2.1448371,0.9614621,58.820114,-47.52792
vae_rf_1000,0,0.16766748,1.2819346,0.032710366,0.54662323,-1.1595514,-66.10016,-36.85305
vae_rf_1000,4,0.17022745,0.694567,0.02687912,-0.41557232,0.5565276,25.175236,77.73513
vae_rf_1000,1,0.049219344,2.0199971,0.0447473,-1.8873491,0.7199316,52.177837,-42.995655
vae_rf_1000,4,0.2295694,0.92884487,0.02547951,-0.74827063,0.5503125,44.544323,23.444756
vae_rf_1000,9,0.1798953,1.1858788,0.026486542,-0.29022318,1.1498169,75.41533,24.669184
vae_rf_1000,5,0.33832136,0.0090163965,0.032247532,-0.008535129,0.0029063672,-17.884079,60.40545
vae_rf_1000,9,0.16054012,1.0467844,0.022640271,-1.0465304,0.023059398,19.857914,-10.775784
vae_rf_1000,0,0.1919448,1.5495226,0.03467072,0.9156143,-1.2500683,-54.944206,-46.51845
vae_rf_1000,6,0.24592856,3.7727187,0.05890733,3.7602468,-0.30651432,-24.70745,-74.73888
vae_rf_1000,9,0.14070165,0.9181907,0.021378702,-0.76441014,0.50867605,42.31509,17.432589
vae_rf_1000,0,0.169464,1.4030724,0.028282795,0.8414413,-1.1227595,-54.1809,-41.420242
vae_rf_1000,1,0.065257534,2.0478399,0.051731348,-1.2662302,1.6094438,76.08503,-24.029774
vae_rf_1000,5,0.24004817,0.82668334,0.037032746,0.45935574,0.6873119,-1.1469277,14.666286
vae_rf_1000,9,0.15369013,0.82942355,0.022370871,-0.5841807,0.58879226,45.53363,36.441086
vae_rf_1000,7,0.20649311,0.8706634,0.022397554,-0.7672856,0.41149426,36.810566,18.76243
vae_rf_1000,3,0.3078801,0.7483654,0.03450835,0.3636346,0.65408003,-0.7513683,18.804846
vae_rf_1000,4,0.14155716,1.0470558,0.023363248,-0.61468744,0.8476351,74.52285,43.165062
vae_rf_1000,9,0.1481165,1.2247806,0.023949536,-1.2234011,0.05811517,26.344055,-18.855864
vae_rf_1000,6,0.14566866,3.575753,0.072325386,2.4785898,2.5773246,3.5257914,-79.86916
vae_rf_1000,6,0.18877499,3.2642705,0.05344152,3.2472115,0.3332864,-20.844162,-73.33194
vae_rf_1000,5,0.20050724,0.37220192,0.038934283,-0.20547132,-0.31034786,-52.49881,29.702312
vae_rf_1000,4,0.14680867,1.0356557,0.03156977,-0.45826265,0.9287509,79.17509,33.983704
vae_rf_1000,0,0.24440728,1.654355,0.025854927,0.6619676,-1.516143,-64.9883,-53.269806
vae_rf_1000,7,0.16378959,0.9325115,0.021137258,-0.56171554,0.74434763,59.719097,51.086063
vae_rf_1000,4,0.16120417,0.70007646,0.024767427,-0.47312817,0.51600075,36.417446,39.495476
vae_rf_1000,0,0.17864875,1.2537451,0.024223082,0.78753114,-0.97553647,-54.87931,-36.31731
vae_rf_1000,1,0.070897445,2.3697178,0.058421478,-0.86718655,2.2053459,91.28246,-14.787455
vae_rf_1000,3,0.21954058,0.3943497,0.034225143,0.05884232,0.38993496,-2.7928534,43.05533
vae_rf_1000,1,0.06870755,2.1569545,0.04344167,-0.7138475,2.0354052,90.31697,-11.670338
vae_rf_1000,3,0.17386186,1.1793782,0.03471618,0.19853799,1.162547,14.497411,17.357185
vae_rf_1000,4,0.439315,0.40996107,0.038452204,0.042004187,-0.40780354,-67.9032,38.917698
vae_rf_1000,7,0.16069822,1.2858571,0.02092862,-1.2800939,-0.12160568,18.354866,-24.03185
vae_rf_1000,2,0.25364956,0.8264819,0.022502832,0.72830355,-0.39069963,-41.917084,-22.220432
vae_rf_1000,7,0.27063647,0.6749464,0.023440696,-0.41742706,0.5303841,23.638306,78.317406
vae_rf_1000,1,0.0505633,2.3190086,0.053432625,-1.1547053,2.0110834,87.20071,-22.775303
vae_rf_1000,2,0.2032474,0.8134538,0.06411846,0.3057112,0.7538221,4.4990067,21.09859
vae_rf_1000,1,0.07476388,2.0039108,0.04977884,-1.4483855,1.3848602,69.2518,-28.520643
vae_rf_1000,1,0.05338645,2.9243836,0.06523522,-1.8205901,2.288552,87.450615,-33.955185
vae_rf_1000,7,0.22362609,0.86815643,0.031081839,-0.62475544,0.6028069,47.70582,34.436302
vae_rf_1000,4,0.16460595,1.0698291,0.024680827,-0.7281736,0.7837713,66.19958,11.153873
vae_rf_1000,2,0.29693526,0.2622471,0.05824662,0.23568965,-0.114995286,-36.931396,49.094147
vae_rf_1000,3,0.20534918,1.26552,0.05582681,-0.1802092,1.2526234,69.56637,23.301073
vae_rf_1000,5,0.18536909,0.3563361,0.035340607,0.13175286,-0.33108395,-62.95126,46.28198
vae_rf_1000,1,0.09813533,1.9185468,0.04204249,-0.35703692,1.8850322,91.89711,-6.7719603
vae_rf_1000,2,0.21562588,1.6222138,0.0424736,1.5972002,0.2837773,-13.701805,-30.743015
vae_rf_1000,4,0.20740008,0.6871198,0.01835706,-0.43976834,0.52795583,24.195415,79.35367
vae_rf_1000,4,0.19638275,0.6199862,0.019589666,-0.25329465,0.565884,21.892025,66.85815
vae_rf_1000,6,0.12465912,2.454191,0.049263336,1.4158155,2.0046246,4.91541,-60.23107
vae_rf_1000,3,0.27207276,0.42895237,0.032479055,0.31183228,0.2945518,-13.934824,28.95999
vae_rf_1000,5,0.22883153,0.53842825,0.02732366,-0.0647074,-0.5345259,-67.32462,26.388863
vae_rf_1000,5,0.20968714,0.9453598,0.040163137,0.31001934,0.8930807,8.09546,18.065603
vae_rf_1000,6,0.21797197,4.5973983,0.072203875,4.5648007,-0.5465018,-25.917137,-76.853325
vae_rf_1000,0,0.19683482,1.1057742,0.024988273,0.53432477,-0.9681083,-62.562405,-30.170565
