model_name,label,loss,distance,radius,X,Y,tsne_0,tsne_1
vae_rf_10000,7,0.11394723,3.742115,0.015227808,0.4087946,3.7197194,22.215065,80.87623
vae_rf_10000,2,0.27783766,0.25496677,0.0076448633,0.22415352,-0.12150414,35.775917,-17.381382
vae_rf_10000,1,0.040715836,3.603954,0.013587986,-2.7671063,2.3090274,-63.88072,64.193726
vae_rf_10000,0,0.15985057,1.2398226,0.008410737,-0.6676953,-1.0446737,46.24142,-63.043285
vae_rf_10000,4,0.15767266,1.8871887,0.013514733,1.5913312,1.0144683,50.70456,12.073505
vae_rf_10000,1,0.048272867,3.1395314,0.0136014605,-2.407529,2.0150585,-66.4383,52.739754
vae_rf_10000,4,0.22492214,2.3382797,0.017678207,0.54453635,2.2739904,18.797516,42.57973
vae_rf_10000,9,0.22691748,2.055931,0.017094135,1.9209154,0.7327595,63.807766,7.0926
vae_rf_10000,5,0.45257643,0.56167305,0.015866287,-0.09323225,0.55388117,-0.99344236,-6.971041
vae_rf_10000,9,0.16401426,2.3238783,0.013473773,-0.3347361,2.299644,-13.493619,49.944485
vae_rf_10000,0,0.20819093,1.7783433,0.0076052756,-0.3849713,-1.7361746,64.70368,-48.916515
vae_rf_10000,6,0.24266896,1.0442787,0.0072119795,0.11027309,-1.0384401,55.90367,-29.357634
vae_rf_10000,9,0.13308552,2.4252892,0.016431214,0.8100592,2.286008,26.14858,42.151787
vae_rf_10000,0,0.1679239,1.3858718,0.008386765,-0.39615932,-1.328043,56.32273,-48.10907
vae_rf_10000,1,0.04971129,3.2569256,0.015946893,-1.7971678,2.716202,-47.061863,62.160255
vae_rf_10000,5,0.23968962,0.2890448,0.007220229,0.08267258,0.27696958,20.139172,-11.730571
vae_rf_10000,9,0.16264452,2.4905825,0.013126963,1.4777051,2.0048413,42.55418,34.637466
vae_rf_10000,7,0.1635289,3.4180567,0.015716037,0.8668469,3.3063102,35.72915,67.856
vae_rf_10000,3,0.27739137,0.5475525,0.0100390855,0.46387312,0.2909218,31.370605,-7.234792
vae_rf_10000,4,0.12968603,2.7129872,0.014664379,1.7149111,2.1022322,47.752586,40.78349
vae_rf_10000,9,0.13692598,2.6073658,0.013962662,-0.4555089,2.5672686,-11.2009735,62.964996
vae_rf_10000,6,0.1785687,0.7379473,0.008711237,-0.6955519,-0.24652345,3.556399,-65.44449
vae_rf_10000,6,0.22759275,0.9286959,0.010886431,0.86702216,-0.3327893,48.623028,-8.975039
vae_rf_10000,5,0.19982629,1.1979591,0.010877319,-0.8710903,0.82237935,-56.4036,-13.105422
vae_rf_10000,4,0.15005185,2.2294059,0.015589136,1.8671482,1.2181988,58.00528,16.419125
vae_rf_10000,0,0.25043038,1.7848725,0.011626218,-0.73914754,-1.6246326,61.627556,-55.479713
vae_rf_10000,7,0.1253874,3.6290205,0.021176917,2.4444997,2.6822028,56.04714,57.041298
vae_rf_10000,4,0.14812031,2.0906405,0.014185233,1.4776292,1.4789827,46.380123,22.109325
vae_rf_10000,0,0.17430086,1.3308915,0.007354291,-0.55203223,-1.2110047,54.10544,-51.919243
vae_rf_10000,1,0.06655401,3.7065492,0.016111761,-1.5026691,3.3882875,-33.468475,71.753105
vae_rf_10000,3,0.228308,0.9761611,0.009787318,-0.33228606,0.9178652,-26.336317,4.6524177
vae_rf_10000,1,0.12450326,3.333116,0.01738561,-0.80088747,3.2354662,0.036191955,79.67459
vae_rf_10000,3,0.18416144,0.5766315,0.010266402,-0.09436808,0.56885725,-1.4029992,-6.6686945
vae_rf_10000,4,0.3166719,1.0201038,0.012205157,0.51039934,-0.88323516,56.713375,-23.022446
vae_rf_10000,7,0.16268308,1.8552656,0.012439765,-0.5405614,1.7747687,-24.762232,34.261192
vae_rf_10000,2,0.27486154,0.23460717,0.008001623,-0.09535001,-0.21435694,28.506828,-33.746384
vae_rf_10000,7,0.25401077,2.4387584,0.016309103,0.6301049,2.355952,21.011711,43.812744
vae_rf_10000,1,0.051435113,4.089139,0.019436251,-1.8183565,3.6625998,-30.96853,78.05155
vae_rf_10000,2,0.2210898,0.2584927,0.008532268,-0.190835,0.17435732,6.5437264,-30.496328
vae_rf_10000,1,0.05970725,3.0985584,0.014111196,-1.8169191,2.5099542,-48.122776,57.36447
vae_rf_10000,1,0.060186792,4.824897,0.018849943,-2.7526782,3.9626245,-29.570457,90.63435
vae_rf_10000,7,0.19298567,2.573085,0.015573812,0.20753336,2.564702,7.846378,56.45556
vae_rf_10000,4,0.15740168,2.2648823,0.014663659,1.1737267,1.9370228,34.729763,32.743774
vae_rf_10000,2,0.27955166,0.25386503,0.011765367,-0.1412749,0.21092385,7.5530543,-28.586193
vae_rf_10000,3,0.2404405,1.1415875,0.010778913,-0.5132251,1.0197166,-42.2258,2.657614
vae_rf_10000,5,0.18349776,0.8691927,0.009263141,-0.71734023,0.49083495,-39.160233,-38.654972
vae_rf_10000,1,0.21382861,1.148758,0.01567272,0.4288093,1.065724,10.83168,16.117182
vae_rf_10000,2,0.23456585,0.33474344,0.009262924,-0.11830519,-0.31314063,26.608416,-44.58876
vae_rf_10000,4,0.21428528,2.6419551,0.01701937,1.5887779,2.1108556,46.130608,40.05911
vae_rf_10000,4,0.17204855,2.412588,0.009307385,2.2393813,0.89763683,65.87191,11.688296
vae_rf_10000,6,0.12384119,1.4130727,0.008986129,-1.4123027,-0.046642378,-25.667013,-80.58957
vae_rf_10000,3,0.23465952,0.55157703,0.011348384,0.23533913,0.49885142,14.46411,3.276497
vae_rf_10000,5,0.24070501,0.96805006,0.012960475,-0.7142395,0.6534393,-46.72858,-24.585474
vae_rf_10000,5,0.21178658,0.5354553,0.009368487,0.048826158,0.53322446,6.0722275,-3.1464932
